PY Sentence Range,Candidate Rank,Match Tier,Match Score,IDF Cosine,Shared Distinct Words,Shared Words,Dd Paragraph Preview,PY Paragraph Preview
s3315,1,medium,0.1718,0.0624,2,"ahlāyīh, amāh",0.5a: amāh hamist kē yazdān bandag ud pad kōxšišn ī Druz ham-spāh pad āstawānīh ī abar weh-Dēn ī Mazdēsnān ham-estišn pad ēk ān ī ahlāyīh rāh ham-tuxšišn ō gāh ī andar ān ī pāšom axwān ham-ārzōg pad ayābišn ī ō ān pāšom axwān Fraškerd ham-ēmēd hēm ān-imān kām ī ham-wēnišnīh ud ham-p...,"caby_ch67_st1: pad ahlāyīh ō amāh rasād pad frārōnīh ,"
s3167,2,medium,0.1417,0.0778,2,"ahlāyīh, axwān",0.5a: amāh hamist kē yazdān bandag ud pad kōxšišn ī Druz ham-spāh pad āstawānīh ī abar weh-Dēn ī Mazdēsnān ham-estišn pad ēk ān ī ahlāyīh rāh ham-tuxšišn ō gāh ī andar ān ī pāšom axwān ham-ārzōg pad ayābišn ī ō ān pāšom axwān Fraškerd ham-ēmēd hēm ān-imān kām ī ham-wēnišnīh ud ham-p...,caby_ch64_st2: andar axwān pad paydāgīh āškārag frāz pad ahlāyīh franāmēnd
s488,3,medium,0.1322,0.093,4,"abar, ahlāyīh, amāh, axwān",0.5a: amāh hamist kē yazdān bandag ud pad kōxšišn ī Druz ham-spāh pad āstawānīh ī abar weh-Dēn ī Mazdēsnān ham-estišn pad ēk ān ī ahlāyīh rāh ham-tuxšišn ō gāh ī andar ān ī pāšom axwān ham-ārzōg pad ayābišn ī ō ān pāšom axwān Fraškerd ham-ēmēd hēm ān-imān kām ī ham-wēnišnīh ud ham-p...,caby_ch7_st28: ān ō ōy ohrmazd xwēš mizd ān ō amāh dahē pad ēn axwān pad =iz mēnōyān kū ēdōn pad ān ēdōn abar rasām ō ēd tō sālārīh ud ahlāyīh =iz hamētāōwisp
s2004-s2006,4,medium,0.1257,0.0787,4,"abar, ahlāyīh, amāh, axwān",0.5a: amāh hamist kē yazdān bandag ud pad kōxšišn ī Druz ham-spāh pad āstawānīh ī abar weh-Dēn ī Mazdēsnān ham-estišn pad ēk ān ī ahlāyīh rāh ham-tuxšišn ō gāh ī andar ān ī pāšom axwān ham-ārzōg pad ayābišn ī ō ān pāšom axwān Fraškerd ham-ēmēd hēm ān-imān kām ī ham-wēnišnīh ud ham-p...,caby_ch41_st6: yān ī zardušt yān ī zardušt ān ī ōy ān ō amāh dahē pad =iz ēn axwān pad =iz mēnōyān kū ēdōn pad ān ēdōn abar rasēm ō ēd ī tō sālārīh ud ahlāyīh =iz hamētāōwisp
s2751-s2755,5,strong,0.1244,0.0992,6,"abar, ahlāyīh, axwān, gāh, rāh, ēk",0.5a: amāh hamist kē yazdān bandag ud pad kōxšišn ī Druz ham-spāh pad āstawānīh ī abar weh-Dēn ī Mazdēsnān ham-estišn pad ēk ān ī ahlāyīh rāh ham-tuxšišn ō gāh ī andar ān ī pāšom axwān ham-ārzōg pad ayābišn ī ō ān pāšom axwān Fraškerd ham-ēmēd hēm ān-imān kām ī ham-wēnišnīh ud ham-p...,caby_ch53_st5: ān ī saxwanān [wāzišn] pad kanīgān gōwišn kū dēnrawāgīh pad hudōs ān =iz ī ašmāh āgāhīh ān =tān andar daman dānāgīh ī =tān andar tan ā =iz pad rāh ī ōy menišn =iz ō ān harw dō menišn dahišnīh ka tis ī mēnōy ud gētī dānēd ā =iz pad rāh ī ōy āgāhdahišnīh pad dēn pad harw dō axwā...
s3458-s3460,1,low,0.0727,0.0636,2,"radān, yazdān",0.8: čē abāg-iz škeft kōxšīdārīh ī Druz ud garān wišōbišn ud zūrīh ī ō dēnīgān mad estēd pas-iz pad yazdān xwābarīh nūn-iz radān mowbedān dastwarān dādwarān ud abārīg-iz dēnīgan ud dēnīgbedān ī kustag-kustag ud anīz hērbedān [TD4_170] ud mowmardān ī ōšmurd-mānsr ī dranǰēnīd-zand ī...,caby_ch71_st3: ahlawān ī wehān ī abzārān ī abzōnīgān ī frawahr yazam kē =iz astōmandān ud kē =iz mēnōyān ōy ī abartom rad yazam kē =iz madārtom az yazdān ud arzānīgtom az ahlāyīh radān abarmadārtom pad rasišn ī ahlaw ī ahlāyīh rad pad radfranāmišnīh yazam
s3230-s3234,2,low,0.0554,0.0576,2,"xwābarīh, yazdān",0.8: čē abāg-iz škeft kōxšīdārīh ī Druz ud garān wišōbišn ud zūrīh ī ō dēnīgān mad estēd pas-iz pad yazdān xwābarīh nūn-iz radān mowbedān dastwarān dādwarān ud abārīg-iz dēnīgan ud dēnīgbedān ī kustag-kustag ud anīz hērbedān [TD4_170] ud mowmardān ī ōšmurd-mānsr ī dranǰēnīd-zand ī...,caby_ch65_st11: ēn ō man dah pad dahišn abar ī weh az ān ī meh az ān ī weh pad bēabespārišnīh ka =š dārišn bē aw =iš kird hād anabardrōzišn bawād kū =mān pad =š be ēstād āb īšt az ašmāh zayēm ud xwāstag ī purrsaredag kū =š saredag ī harw tis =ēw andar amāwand kū kē xwāstag ī was ā =š škō az =...
s2756-s2761,2,low,0.0797,0.0587,2,"dastwarīh, ōš",0.18: čand-im az dēn-āgāhīh u-m pad ōš ayādīh [K35_102v] ud az pēšēnīgān dastwarīh ud pad xrad sahišn ast pāsox azēr ī pursišn nibišt kāmam,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s2756-s2761,2,medium,0.1148,0.0578,2,"nēst, tis",0.19: ka čiyōn pursēd tis andar nēst ī ān rāy ǰuttar [T60a_4v] ōwōn saham čiyōn nibēsam,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s2629-s2633,1,medium,0.1221,0.1022,4,"ahlāyīh, ašmāh, man, sūd",0.26: ka wehān gōhrān ud ēwēnag nigerīd wizīrēnīdār wazurg sūd xwēš xwēšīgān drīstīh ud drōdīh ud ahlāyīh ud paymōgīh ud Druz nihānēnīdārīh čē-m ašmāh kām kunišn man āgāhēnīdan framāyēd,caby_ch51_st2: frāzgōwišnīh yān ī zardušt abyōxtagīhā xwānišn hāzišn ī zardušt ān ī ašmāh ohrmazd ī fradom gāhānīgīh pad ahlāyīh ān =iz ud pad =iz tō spandārmad pad frārōnīh bowandagmenišnīh ōh kunam dahād ō man īšt ī pad xwadāyīh bē šāyēd dād pad ašmāh wahman niyāyišn dahēd sūd kū ǰādaggōwī...
